,Id,Name,Country,City,Latitude,Longitude
315,1812480000000.0,Best Western The Boltons Hotel London Kensington,GB,London,51.4907493,-0.1934627
316,2413770000000.0,Park Lane Mews Hotel,GB,London,51.5059334,-0.1489418
317,3221230000000.0,The Goring,GB,London,51.4975621,-0.145551
318,2680060000000.0,Grange City Hotel,GB,London,51.5110114,-0.0771251
319,2654290000000.0,Crowne Plaza London The City,GB,London,51.5122429,-0.1045036
320,3212640000000.0,Park Grand London Lancaster Gate,GB,London,51.5132069,-0.1807816
321,2628520000000.0,Durrants Hotel,GB,London,51.5179386,-0.1529794
322,3143920000000.0,Holiday Inn London Kensington,GB,London,51.499981,-0.1928791
323,2551210000000.0,Novotel London West,GB,London,51.4919588,-0.2200956
324,3358660000000.0,Hotel La Place,GB,London,51.5215257,-0.1533039
325,2534030000000.0,The Royal Horseguards,GB,London,51.5054185,-0.1241499
326,2611340000000.0,The Capital,GB,London,51.4997486,-0.1615242
327,3367250000000.0,Hilton London Wembley,GB,London,51.5576962,-0.2835263
328,3384430000000.0,Good Hotel London,GB,London,51.5084195,0.0253216
329,3195460000000.0,Simply Rooms Suites,GB,London,51.4944875,-0.2070605
330,2602750000000.0,Blakes Hotel,GB,London,51.4892447,-0.1803196
331,2267740000000.0,Claridge s,GB,London,51.5125035,-0.1477438
332,2585570000000.0,The Lodge Hotel Putney,GB,London,51.4572991,-0.2055425
333,1855430000000.0,Avo Hotel,GB,London,51.5460628,-0.0700817
334,2568390000000.0,Thistle Holborn The Kingsley,GB,London,51.5179659,-0.1234343
335,3401610000000.0,Rocco Forte Brown s Hotel,GB,London,51.5090558,-0.1421661
336,2525440000000.0,The Lanesborough,GB,London,51.50303,-0.15242
337,2508260000000.0,The Montague On The Gardens,GB,London,51.520181,-0.1256957
338,1829660000000.0,The Belgrave Hotel,GB,London,51.4901051,-0.1381355
339,2491080000000.0,Novotel London Tower Bridge,GB,London,51.5106538,-0.0773676
340,3109560000000.0,The Zetter Townhouse Marylebone,GB,London,51.514839,-0.1586656
341,2345050000000.0,The Chelsea Harbour Hotel,GB,London,51.4756558,-0.1813888
342,2310690000000.0,DoubleTree by Hilton London Hyde Park,GB,London,51.5100362,-0.190657
343,2181840000000.0,Grange Rochester Hotel,GB,London,51.4942654,-0.1366026
344,1760940000000.0,Millennium Hotel London Knightsbridge,GB,London,51.4999683,-0.1599927
345,2362230000000.0,The Grand at Trafalgar Square,GB,London,51.506935,-0.126012
346,2156070000000.0,88 Studios,GB,London,51.4992789,-0.2090733
347,3152510000000.0,Intercontinental London The O2,GB,London,51.5024348,-0.0002497
348,2121710000000.0,Hilton London Green Park,GB,London,51.5064534,-0.1456146
349,1881200000000.0,Hotel Cafe Royal,GB,London,51.5100916,-0.1359431
350,2104530000000.0,Thistle Hyde Park,GB,London,51.5112451,-0.1808938
351,2379410000000.0,The Zetter Townhouse Clerkenwell,GB,London,51.5231564,-0.1035134
352,2448130000000.0,Bulgari Hotel London,GB,London,51.5015721,-0.1628511
353,2388000000000.0,Dorsett Shepherds Bush,GB,London,51.5039399,-0.2244232
354,2396590000000.0,K K Hotel George,GB,London,51.4918878,-0.1949706
355,3410200000000.0,The Curtain,GB,London,51.5237209,-0.0806178
356,2035810000000.0,Rosewood London,GB,London,51.5173303,-0.1180966
357,3143920000000.0,Mercure London Kensington Hotel,GB,London,51.4950098,-0.1906195
358,3418790000000.0,Number Sixteen,GB,London,51.4930905,-0.1755022
359,1898380000000.0,The Chesterfield Mayfair,GB,London,51.5076899,-0.1471358
360,2405180000000.0,Sheraton Grand London Park Lane,GB,London,51.5092876,-0.1370062
361,2018630000000.0,Georgian House Hotel,GB,London,51.490724,-0.143868
362,1726580000000.0,Nottingham Place Hotel,GB,London,51.522143,-0.153385
363,3264180000000.0,Sloane Square Hotel,GB,London,51.4927325,-0.1573708
364,2353640000000.0,Shangri La Hotel at The Shard London,GB,London,51.5044972,-0.0855562
365,1872610000000.0,One Aldwych,GB,London,51.5117832,-0.1194172
366,1864020000000.0,Park Avenue Baker Street,GB,London,51.5241452,-0.1609907
367,3126740000000.0,Radisson Blu Edwardian Vanderbilt,GB,London,51.4953691,-0.1818966
368,3289940000000.0,Grange Fitzrovia Hotel,GB,London,51.521759,-0.1425381
369,2327870000000.0,The Connaught,GB,London,51.5101556,-0.1496314
370,3298530000000.0,The Principal London,GB,London,51.5226217,-0.1251602
371,3298530000000.0,Thistle Trafalgar Square The Royal Trafalgar,GB,London,51.509133,-0.130189
372,2319280000000.0,The RE London Shoreditch,GB,London,51.531979,-0.061598
373,1778120000000.0,The Marble Arch London,GB,London,51.5151247,-0.1600656
374,1769530000000.0,Mandarin Oriental Hyde Park London,GB,London,51.5022081,-0.1599428
375,2302100000000.0,Park International Hotel,GB,London,51.4945144,-0.1866172
